House,Item,Day,Value 
1,Washing Machine 1,1,0
1,Washing Machine 1,2,0
1,Washing Machine 1,3,2840721,559
1,Washing Machine 1,4,4390130,903
1,Washing Machine 1,5,0
1,Washing Machine 1,6,2718755,392
1,Washing Machine 1,7,3181424,498
1,Washing Machine 1,8,0
1,Washing Machine 1,9,0
1,Washing Machine 1,10,2480034,574
1,Washing Machine 1,11,0
1,Washing Machine 1,12,2899550,832
1,Washing Machine 1,13,1959654,162
1,Washing Machine 1,14,1286774,791
1,Washing Machine 1,15,0
1,Washing Machine 1,16,4468944,3
1,Washing Machine 1,17,0
1,Washing Machine 1,18,0
1,Washing Machine 1,19,13199446,26
1,Washing Machine 1,20,3423715,024
1,Washing Machine 1,21,3328,786214
1,Washing Machine 1,22,0
1,Washing Machine 1,23,3896542,882
1,Washing Machine 1,24,0
1,Washing Machine 1,25,4337805,607
1,Washing Machine 1,26,124192,143
1,Washing Machine 1,27,7830627,101
1,Washing Machine 1,28,0
1,Washing Machine 1,29,0
1,Washing Machine 1,30,3215416,562
1,Washing Machine 1,31,0
2,Washing Machine 2,1,12,97046313
2,Washing Machine 2,2,8,738683969
2,Washing Machine 2,3,15,11955506
2,Washing Machine 2,4,1825151,215
2,Washing Machine 2,5,13,45984305
2,Washing Machine 2,6,10,68400803
2,Washing Machine 2,7,13,04247501
2,Washing Machine 2,8,13,88321504
2,Washing Machine 2,9,15,90291998
2,Washing Machine 2,10,3931422,763
2,Washing Machine 2,11,3403389,58
2,Washing Machine 2,12,95565,20121
2,Washing Machine 2,13,15,20278001
2,Washing Machine 2,14,15,11942011
2,Washing Machine 2,15,1024089,679
2,Washing Machine 2,16,14,97592798
2,Washing Machine 2,17,1917354,516
2,Washing Machine 2,18,13,62925905
2,Washing Machine 2,19,11,087789
2,Washing Machine 2,20,17,08676803
2,Washing Machine 2,21,629907,2891
2,Washing Machine 2,22,16,29160005
2,Washing Machine 2,23,1441670,276
2,Washing Machine 2,24,15,98349991
2,Washing Machine 2,25,18,29317209
2,Washing Machine 2,26,15,17461701
2,Washing Machine 2,27,16,82536206
2,Washing Machine 2,28,4289975,189
2,Washing Machine 2,29,17,28869501
2,Washing Machine 2,30,18,70335704
2,Washing Machine 2,31,987850,7309
